run,experiment,data_kind,n,mode,trial,case_id,queries,median_ms,p95_ms,p99_ms,accept_median_ms,accept_cpu_mean_ms,rss_after_MiB,rss_before_MiB,ru_maxrss_MiB_DO_NOT_USE_AS_PHASE_PEAK,memory_limit_MiB,pressure_buffer_MiB,accepted,mean_json_body_bytes,selected_payload_sha256,timing_scope
HPC,local,ethereum_rpc_finalized_json,69,leaf,2,0067-ethereum_rpc_finalized_json-n69-leaf-t2-local,200,3.703073,7.1579083,7.29613213,3.702345,3.956876885,24.3984375,21.69140625,142.46875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,leaf,3,0013-ethereum_rpc_finalized_json-n69-leaf-t3-local,200,3.8123425,7.65494205,7.694454149999999,3.81151,4.015091415,24.4140625,21.61328125,139.9609375,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,ethereum_rpc_finalized_json,69,leaf,4,0057-ethereum_rpc_finalized_json-n69-leaf-t4-local,200,3.727429,7.81628325,7.90706974,3.7267785,3.997982225,26.54296875,21.8203125,141.57421875,0,0.0,200,0,b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,pre-delivered response acceptance only
HPC,local,synthetic,512,archive,0,0064-synthetic-n512-archive-t0-local,200,0.174141,0.1821832,0.19637226,0.173665,0.173644155,22.140625,21.828125,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,archive,1,0041-synthetic-n512-archive-t1-local,200,0.1731605,0.1772734,0.17940290999999997,0.17269,0.17215222,21.83984375,21.484375,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,archive,2,0063-synthetic-n512-archive-t2-local,200,0.1727305,0.17732094999999998,0.18315290999999984,0.17223149999999998,0.171901725,22.0546875,21.73828125,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,archive,3,0074-synthetic-n512-archive-t3-local,200,0.17217100000000002,0.17641959999999998,0.1815571399999999,0.17168250000000002,0.171298945,22.09765625,21.78125,142.46875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,archive,4,0052-synthetic-n512-archive-t4-local,200,0.172148,0.17631405,0.17858590999999993,0.171658,0.171298975,22.046875,21.671875,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,ext_cached,0,0023-synthetic-n512-ext_cached-t0-local,200,0.1741185,0.19111859999999994,0.20852155999999997,0.1736105,0.174581675,21.77734375,21.41796875,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,ext_cached,1,0016-synthetic-n512-ext_cached-t1-local,200,0.1732495,0.1814834,0.19452437999999997,0.1727265,0.172789055,21.97265625,21.62109375,140.6875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,ext_cached,2,0070-synthetic-n512-ext_cached-t2-local,200,0.17459,0.17835485,0.18303802,0.174099,0.173632525,22.14453125,21.83203125,142.46875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,ext_cached,3,0061-synthetic-n512-ext_cached-t3-local,200,0.174309,0.1834822,0.20066772999999993,0.1737995,0.174106585,22.0546875,21.6796875,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,ext_cached,4,0032-synthetic-n512-ext_cached-t4-local,200,0.1713945,0.1794112,0.19481996999999993,0.170902,0.171312295,22.0546875,21.73828125,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,ext_rebuild,0,0043-synthetic-n512-ext_rebuild-t0-local,200,0.17150749999999998,0.1764751,0.18377654,0.1710035,0.170794515,21.97265625,21.66796875,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,ext_rebuild,1,0035-synthetic-n512-ext_rebuild-t1-local,200,0.17260999999999999,0.17636734999999998,0.17799092999999994,0.172094,0.171796865,22.1015625,21.78515625,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
