run,data_kind,n,mode,source,trials,median_ms_median,median_ms_min,median_ms_max,median_ms_count,median_ms_missing,p95_ms_median,p95_ms_min,p95_ms_max,p95_ms_count,p95_ms_missing,payload_read_bytes_per_query_median,payload_read_bytes_per_query_min,payload_read_bytes_per_query_max,payload_read_bytes_per_query_count,payload_read_bytes_per_query_missing,provider_cpu_ms_per_query_median,provider_cpu_ms_per_query_min,provider_cpu_ms_per_query_max,provider_cpu_ms_per_query_count,provider_cpu_ms_per_query_missing,queries_median,queries_min,queries_max,queries_count,queries_missing,rss_bytes_median,rss_bytes_min,rss_bytes_max,rss_bytes_count,rss_bytes_missing,support_read_bytes_per_query_median,support_read_bytes_per_query_min,support_read_bytes_per_query_max,support_read_bytes_per_query_count,support_read_bytes_per_query_missing,witness_generate_median_ms_median,witness_generate_median_ms_min,witness_generate_median_ms_max,witness_generate_median_ms_count,witness_generate_median_ms_missing
Pi_WiFi,synthetic,512,leaf,proof_fixture_preparation,5,1.7769015000000001,1.7562905,3.3268235,5,0,1.83640025,1.7990635,4.8887867499999995,5,0,2084.0,2084.0,2084.0,5,0,1.774477,1.7477059375,3.5718725625,5,0,16,16,16,5,0,137240576,137240576,138809344,5,0,16384.0,16384.0,16384.0,5,0,0.632417,0.6254169999999999,1.2575005,5,0
Pi_WiFi,synthetic,512,leaf,warm_network_queries,5,3.211234,2.9376075000000004,3.2847125,5,0,3.3097409,3.2348526499999997,3.3886187,5,0,2084.0,2084.0,2084.0,5,0,3.130859665,3.0209377400000004,3.218001695,5,0,200,200,200,5,0,137240576,137240576,138809344,5,0,16384.0,16384.0,16384.0,5,0,1.181789,1.090494,1.2025765,5,0
Pi_WiFi,synthetic,4096,archive,proof_fixture_preparation,5,1.3004514999999999,1.2953055,1.3092009999999998,5,0,1.3768615,1.342895,1.44863875,5,0,2084.0,2084.0,2084.0,5,0,1.3062859375,1.2940925625,1.311827625,5,0,16,16,16,5,0,,,,0,5,384.0,384.0,384.0,5,0,0.38032750000000004,0.378004,0.382235,5,0
Pi_WiFi,synthetic,4096,ext_cached,proof_fixture_preparation,5,1.47048,1.4366409999999998,1.481609,5,0,1.50868775,1.49331575,1.53527425,5,0,2084.0,2084.0,2084.0,5,0,1.467481375,1.4436955625,1.474772125,5,0,16,16,16,5,0,137768960,135933952,138809344,5,0,384.0,384.0,384.0,5,0,0.483595,0.476596,0.48457700000000004,5,0
Pi_WiFi,synthetic,4096,ext_cached,warm_network_queries,5,2.4829749999999997,2.4767799999999998,2.6415344999999997,5,0,2.7790515499999997,2.7374496,3.0323465499999998,5,0,2084.0,2084.0,2084.0,5,0,2.574750455,2.508214095,2.605521955,5,0,200,200,200,5,0,137768960,135933952,138809344,5,0,384.0,384.0,384.0,5,0,0.8662099999999999,0.823387,0.8918785,5,0
Pi_WiFi,synthetic,4096,ext_rebuild,proof_fixture_preparation,5,607.6225784999999,604.7787940000001,612.4832215,5,0,612.1074125,609.272486,617.1517962500001,5,0,8536064.0,8536064.0,8536064.0,5,0,607.6979951875,606.9986845,611.908349125,5,0,16,16,16,5,0,136654848,136654848,137768960,5,0,0.0,0.0,0.0,5,0,152.980537,152.1875645,154.625921,5,0
Pi_WiFi,synthetic,4096,ext_rebuild,warm_network_queries,5,609.1223575,606.236229,611.105004,5,0,612.6368791499999,609.2801606500001,613.9224932,5,0,8536064.0,8536064.0,8536064.0,5,0,609.22025097,606.87511315,611.33866433,5,0,200,200,200,5,0,136654848,136654848,137768960,5,0,0.0,0.0,0.0,5,0,152.622969,151.7808915,152.9657785,5,0
Pi_WiFi,synthetic,4096,full,proof_fixture_preparation,5,1.4489535,1.4350625,1.477961,5,0,1.5157445,1.476218,1.61756075,5,0,2084.0,2084.0,2084.0,5,0,1.4513205625,1.4353865625,1.4916516875,5,0,16,16,16,5,0,136654848,136519680,137768960,5,0,384.0,384.0,384.0,5,0,0.47729,0.47657649999999996,0.485012,5,0
Pi_WiFi,synthetic,4096,full,warm_network_queries,5,2.4671775,2.4632765,2.6264015,5,0,2.74942705,2.7358397500000002,2.9593879999999992,5,0,2084.0,2084.0,2084.0,5,0,2.55866066,2.52433691,2.59766442,5,0,200,200,200,5,0,136654848,136519680,137768960,5,0,384.0,384.0,384.0,5,0,0.8606374999999999,0.8192945,0.8886735,5,0
Pi_WiFi,synthetic,4096,leaf,proof_fixture_preparation,5,5.0010639999999995,4.985056,5.1483615,5,0,5.0909435,5.04733225,5.255332,5,0,2084.0,2084.0,2084.0,5,0,4.99076725,4.96115275,5.157254625,5,0,16,16,16,5,0,136654848,136654848,137768960,5,0,131072.0,131072.0,131072.0,5,0,2.6139229999999998,2.557761,2.7282575,5,0
